,evals,quotes
43,0,правоохранительный орган решать вопрос обеспечение охрана хозяин дома член семья расследование уголовный дело продолжаться сообщать маркин
44,0,правда день шеин свой блог опровергать сведение заявлять участник голодовка чувствовать нормально
45,2,голодовка это отказ пища но не падение личность чувствовать хорошо контролировать уровень сахар кровь принимать душ писать Facebook это неправда заявлять шеин
46,1,это мнение депутат являться преступление подпадать действие статья уголовный кодекс ук украина который полгода назад осуждать тимошенко
47,0,предполагаться каждый замечание ромни адрес обама критика задавать вопрос сделать каков ваш рецепт действие мнение стратег предвыборный кампания обама подобный тактика позволять показывать рецепт республиканский кандидат устаревать
48,1,мнение эксперт российский институт стратегический исследование аждар куртов следующий шаг ташкент душанбе не отказываться план рогун становиться закрытие автомобильный сообщение
49,1,мнение азиза ниязи почва конфликт готовый узбекистан наращивать сила граница таджикистан
50,1,антицерковный группа мнение член ВЦС разворачивать кампания против церковь дискредитировать клирик священноначалие архипастырь священство находиться фокус пристальный внимание недовольный который действовать образ создавать грязный информационный поток
51,0,священнослужитель напоминать обращение ВСЦ рассылать епископ не только россия но 15 страна который распространяться церковный юрисдикция московский патриархат
52,1,мнение свиридов молитвенный стояние 22 апрель кажется абсурд молебен не направлять против что-то
53,1,мнение эксперт глава белорусский государство бояться страна все-таки лишать право проводить чемпионат мир хоккей 2014 год
54,0,агентство давать негативный прогноз кабинет кэмерон заявлять это свидетельствовать необходимость дополнительный экономия
55,1,не верить существовать санкция политический давление заставлять иранский руководство осознавать необходимость закрывать свой военный ядерный программа сказать
56,1,глава мид германия гвидо вестервелла заявлять сторона 86 грасса аморально ставить ряд иран израиль
57,2,готовый садиться разговаривать тема подчеркивать мартынов
58,0,поздно заявлять готовый работать будущее правительство республика случай политический позиция новое президент совпадать политический кредо
59,1,главный тренер манчестер сити роберто манчини заявлять нападающий марио балотелль заработать удаление гостевой матч 32 тур чемпионат англия арсенал пропускать близкий шесть матч манчестерский клуб
60,1,америка охватывать эпидемия порнография который отравлять брак плохо влиять отношение провоцировать насилие отношение женщина также рост проституция заявлять свой официальный сайт экс
61,1,здоровье человеческий достоинство девочка попирать подросток должно восстанавливать судебный порядок написать свой Twitter
62,1,2006 год грасс признаваться заключительный год второй мировой война служить СС
63,1,глава израильский мвд эль ишай заявлять гюнтер грасса по-прежнему хотеться распространять свой передергивать лживый творение делать это территория иран находить благосклонный аудитория
64,1,ночь 7 апрель 2012 год 81 год жизнь москва скончаться игорь рогачев член совет федерация амурский область сообщать интерфакс ссылка пресс-служба правительство приамурье
65,0,кудрин отвечать вопрос нга пресс-конференция заявлять не исключать партийный будущее некоторые член комитет гражданский инициатива
66,2,секретарь президиум генсовет единый россия зампредседатель госдума сергей неверов суббота заявлять партия не бояться раскол связь появление разный идеологический платформа
67,0,ер выступать роль маточный структура одновременно признаваться партия – лишь часть народный фронт
68,0,мнение вице-президент центр политический технология борис макаренко шанс медведев возглавлять ер 50х50 более точный расчет вероятность это событие не
69,0,колюшин напоминать москва не еще ни
70,1,не понимать не принимать горожанин позиция прокуратура который отменять уголовный дело возбуждать минувший суббота статья покушение убийство требовать поправка федеральный законодательство который позволять привлекать уголовный ответственность малолетний правонарушитель заявлять интерфакс участник сход
72,0,кроме шойгу заявлять не намерен менять стиль свой руководство
73,0,молодой хавбек аякса кристиан эриксен который охотиться многие европейский суперклуб заявлять пока не планировать покидать амстердам
74,2,считать продолжать развиваться аякса игровой время который регулярно получать позволять становиться хорошо хорошо не видеть причина который стоять покидать команда аякса чувствовать дома еще вещь который предстоять научаться сказать игрок
75,1,осмотр медик забирать мужчина психиатрический больница город сказать собеседник агентство
76,1,даже арестованный женщина принимать участие акция столь суровый ответный мера российский власть взятие стража обвинение серьезный уголовный преступление хулиганство представлять неоправданно жесткий реакция мирный хотя оскорбительный многий человек выражение политический убеждение следовательно женщина мочь считаться узница совесть говориться заявление международный правозащитный организация
77,1,алла джиоев заявлять не пойти выборы качество избиратель не видеть это смысл не верить объективность
78,2,певица мадонна заявлять выступать поддержка российский гей свой концерт санкт-петербург август
79,1,выясняться задержанный автомобиль Mercedes женщина умерший мужчина совместно употреблять наркотический средство мужчина неожиданно скончаться передозировка испугаться выбрасывать машина попытаться скрываться сообщать собеседник агентство девушка везти освидетельствование наличие наркотический опьянение
80,1,не ошибаться ничего не делать момент ключевой но не перелагать весь ответственность только роман сказать коусейра
81,1,предполагать момент создавать но вряд действительно стопроцентный шанс однако реализовывать не удаваться подытоживать слуцкий
82,1,власть наш страна который демонстрировать образ удовлетворять собственный популистский не подкреплять реальный экономический развитие обещание закрытие шлагбаум поднятие тариф единственный метод который овладевать новоявленный реформатор это прибавлять аппетит администратор шлагбаум который никогда не исчезать давление бизнес перерастать мыслимый граница говориться письмо
83,1,большинство производитель который подвергаться серьезный корректирование импортировать украина сырье приходиться решать школьный задачка работать убыток ждать хороший время закрывать предприятие считать глава комитет предприниматель львовщина ярослав кохалевич
84,1,сомнительный мнение кохалевич являться тезис результат рост таможенный стоимость импорт государственный бюджет получать поступление который потратить социальный инициатива президент украина
85,0,представитель алжир министр африканский дело мохаммед мессахель заявлять видеть решение проблема исключительно политический метод
86,2,побеждать выражать признательность благодарность сторонник предстоять строить новое успешный правовой государство сказать тибилов
87,0,девятый апрель 2012 год состояться заседание законодательный собрание рассмотрение вноситься вопрос наделение виктор назаров полномочие губернатор омский область говориться сообщение
88,2,благодарить свой избиратель поддержка поздравлять свой оппонент победа сказать санакоев
89,1,повторный голосование джиоев бибилов участие не принимать джиоев заявлять не пойти выборы качество избиратель не видеть это смысл не верить объективность
90,2,тибилов также заявлять приглашать давид санакоев будущее правительство давно знать ценить профессионал
91,2,счастливый действительно верить происходить чудо ведь среди нет жертва заявлять пресс-конференция мэр город вирджиния бич уилл сессомс Will Sessoms
92,2,это становиться удивительный демонстрация вирджиния бич гражданский ответственность это исходить огромный множество человек который ничего не случаться добавлять
93,0,это происходить полностью пересматривать структура администрация но это будущее подводить итог встреча журналист глава администрация район
94,0,окончательный данные 100 завтра понедельник около 10.00 сообщать председатель цик республика белла плиев
95,2,заявлять признавать результат выбор не опротетстовывать поздравлять леонид тибилов
96,1,белавиа свой сторона заявлять случай запрет полет регион россия добиваться сокращение число рейс москва минский каждый сторона это рейс мочь выполнять S7 ютэйр не аэрофлот
97,2,не ожидать россонерить проигрывать фиорентина но финальный результат матч против палермо выходить огромный желание зависеть каждый игра очень важный ошибка допускать любой время наш шанс чемпионство расценивать 50 50 приводить слово пирло Gazzeta
99,1,игра равный сегодня цска сильный команда но получать равнозначный судейство оба сторона игра тяжело момент который трактоваться польза цска не трактоваться образ польза спартак думать не единственный клуб сказать подобный это истина цска невозможно получать ровный судейство иметь сильный команда замечательный игрок цска еще судья иметь получать двойной преимущество ситуация сложно бороться ситуация очень сильно начинать раздражать ясно цска сильный состав европа плюс еще судья помогать заявлять карванный
100,0,хотя мнение джигурд откровенный снимок жанна владимировна вряд заинтересовывать
102,2,фас рассматривать ходатайство компания приобретение правый позволять определять условие осуществление ретннет российский представительство компания прима тасс предпринимательский деятельность получать результат приобретение ростелеком 100 акция компания RETN CAPITAL LTD принимать решение удовлетворение данный ходатайство сообщать антимонопольный ведомство
103,0,компания свое время ассоциированный элтелый работать питер который приобретать билайн 2010 год напоминать директор информационно агентство Telecom Daily денис кусков
104,2,мнение аналитика финам менеджмент анна зайцева контроль компания позволять ростелеком получать доступ крупный международный магистральный сеть позитивно отражаться доход корпорация пропуск трафик
105,0,фактически речь идти выход ростелеком зарубежный рынок магистральный трафик сегодняшний день собственный инфраструктура корпорация это сегмент оставаться сравнительно небольшой добавлять
106,2,мнение аналитика инвесткафе илья раченкова это приобретение позволять увеличивать доход пропуск трафик возможно сокращать собственный издержки международный звонок
107,1,напоминать выручка ростелеком междугородный международный связь 2011 год сравнение 2010 год снижаться 14 квартал
108,2,счет приобретение RETN компания мочь предлагать абонент более привлекательный тариф международный звонок приостанавливать сокращение выручка данный вид услуга полагать аналитик
109,2,поздравлять хотя официальный итог озвучивать понедельник обращаться плиев леонид тибилов информационный центр цик приезжать кандидат президент
110,0,данный 77 избирательный участок леонид тибилов набирать 53 проц давид санакоев 42 99 проц отмечать плиев
111,2,поздравлять народ южный осетия который принимать активный участие выборы самый главное сегодня выборы вообще состояться народ уставать но мудрый смог выбирать президент поздравлять не только проголосовать леонид тибилов но давид санакоев сказать добавлять главный цель должность президент становиться сплочение житель южный осетия
112,2,министр развитие промышленность торговля никарагуа орландо солорсано свой очередь заявлять подтверждать мир высокий качество российский зерно
114,1,руководящий сотрудник Hermitage Сapital жизнь который не угрожать россия утверждать явный сотрудничество британский полиция российский мвд подвергать семья опасность писать газета
115,1,однако несмотря официальный уверение сотрудничество российский власть не появляться доказательство SOCA передавать российский мвд лондонский адрес иван черкасова жизнь который угрожать имя который россия обвинение мошенничество налог писать британский газета
116,1,статья алексей улюкаев ведомость 11.03 напоминать перспектива пенсионный система приходиться говорить скоро термин возможный желательный
117,1,заслуживать мастер спорт двукратный олимпийский чемпион борис майор заявлять основной причина невыход трактор финал кубок гагарина игра пятерка
118,1,многий ситуация находиться грань удаление несколько заигрывать оранжевый карточка итог получать второй желтый думать балотелль сыграть против сонг очень грубо показываться это красный карточка но не это уверенный пока не увидеть эпизод еще сказать тренер
119,2,народ выживать дима иванюта столько день реанимация чужой имя новость живой молиться давать бог нормально написать
120,2,полузащитник челси хуан мат преддверие противостояние финал лига чемпион барселона заявлять лондонец состояние обыгрывать каталонец
121,0,признавать выборы хотеть поздравлять тибилов леонид харитонович победа выборы сказать санакоев журналист
122,2,хотеть перемена южный осетия надеяться завтрашний день хорошо республика процветать не считать сегодняшний итог наш поражение команда сказать
123,1,мнение власть еврейский государство это задерживать разработка оружие который предполагать исламский республика иран / вести прикрытие программа освоение мирный атом
124,0,итар-тасс тегеран константин казеев руководитель организация атомный энергия ири ферейдун аббаси давань заявлять объект форд находиться полный контроль магатэ 20 уран необходимый использование тегеранский исследовательский реактор еще проектировать реактор мощность 10 мегаватт
125,1,главный тренер кривбасс юрий максимов комментировать поражение александрия 1 заявлять готовый покидать криворожский клуб
126,2,приятно находиться днепропетровск приезжать ваш город львовский джазовый группа театр ходуля воскресение который показывать днепропетровец уличный представление огонь свет пиротехника танец музыка надеяться постановка передавать атмосфера уличный фестиваль который являться достаточно популярный европа наш город ежегодно проводиться более сто фестиваль вкус аромат хотеть привозить днепропетровск поощрять житель ваш город приезжать город лев показывать надеяться акция внутренний туризм обмен город становиться активный итак гостеприимно приглашать днепропетровск львов слово пояснять днепропетровец цель день заместитель львовский городской голова василий косить
127,2,спасибо привозить интересный презентационный программа приглашать наш творческий коллектив посещать ваш город отмечать заместитель днепропетровский городской голова ирина зайцева
128,1,фгуп РТРС пытаться находить различный повод внедрение система условный доступ суд система наземный эфирный вещание предполагать не открытый зашифровывать вещание говориться письмо актр
129,2,итог 2011 год россия насчитываться более 10 млн абонент цифровой тв это почти 20 домохозяйство страна подчеркивать денис кусков
131,1,керимля добавлять коррумпировать режим также заниматься благотворительность рубеж сформировывать хороший имидж мнение представитель оппозиция это делаться счет обкрадывание собственный народ
132,1,корейский испытание озабоченность мировой сообщество повод намерение пхеньян запускать неделя метеорологический спутник мнение многий страна просто испытывать баллистический ракета северный корея строжайше запрещать резолюция совбез оон добавляться еще
133,0,министр финансы антон силуанов заявлять ведомство предлагать забирать концерн 80 доход рост цена россия не дожидаться отмена регулирование
134,0,9 апрель начинаться работа капитальный ремонт второй главный путь перегон песок шиферный станция песок работа проводиться только рабочий день связь корректироваться график движение пригородный электропоезд казанский направление говориться сообщение
135,0,несколько электропоезд пропускаться называть вариантный график свободный ремонт участок путь отправляться рано поздно расписание поясняться сообщение
136,0,технологический окно назначать 22.20 6.00 изменение расписание касаться ранний утренний вечерний электропоезд который отправляться рано поздно графика часть электричка проследовать станция куровский без остановка уточняться сообщение
137,0,обращать особый внимание момент поскольку вслед закон политический партия предстоять обновлять законодательство выборы госдума выборы губернатор недалекий перспектива всерьез укреплять местный самоуправление подчеркивать председатель госдума
138,2,мнение нарышкино еще условие рост самостоятельность парламент четкий следование конституционный принцип разделение власть также освещение ход законотворческий работа
139,2,ведь парламент должный интересный общество не только период выбор но ход довольно сложный нормотворческий процесс наш гражданин должный хорошо представлять стадия тонкость профессиональный работа депутат госдума высококлассный специалист аналитик юрист избиратель важно знать лицо не только привлекать внимание свой громкий заявление но ежедневно напряженно работать закон реально решать насущный проблема человек только конкуренция вход дума более высокий победа одерживать профессионально подковывать человек написать
140,2,реализовывать без новый политический кризис без шоковый реформа революция считать нельзя недооценивать не только стремление общество больший свобода но готовность последовательный эволюционный перемена государство нельзя упускать шанс предоставлять самый история число сделать ошибка ранний период становление парламентаризм не повторяться заключать председатель госдума
141,2,самый главное происходить это состояться выборы хотеть поздравлять весь народ южный осетия ознакомляться предварительный итог голосование считать достигать это общий победа работа цик проявление отношение народ сказать
142,2,народ наш мудрый политически зрелый предварительный данный президент избирать благодарный наш гражданин президент не должный разобщать народ работать объединение общество сплочение подчеркивать
143,1,матч главный тренер гость гус хиддинк заявлять команда ничья скоро потерять очко приобретать
144,2,приятно отыгрывать ноль это плюс но никакой вывод делать не стоять это победа посмотреть смочь показывать следующий матч рубин выходить поле заранее предупреждать просто сказать готовиться сказать ребров
